Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
AASIAAT,GL,4220,68.7081,-52.8517,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
MITTARFIK NARSARSUAQ,GL,4270,61.1667,-45.4167,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
DANMARKSHAVN,GL,4320,76.7694,-18.6681,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
ITTOQQORTOORMIIT,GL,4339,70.4844,-21.9511,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
TASIILAQ,GL,4360,65.6111,-37.6367,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
GEOSUMMIT,GL,4417,72.5803,-38.4586,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
BARROW/W. POST W. ROGERS,AK,70026,71.2889,-156.7833,2026-02-03,0:00,00Z,17,17,0,,,18,1,20,3,UWYO,OK,Exact 250 mb level.
KOTZEBUE RALPH WIEN,AK,70133,66.8864,-162.6133,2026-02-03,0:00,00Z,83,19,-64,,,16,-67,19,-64,UWYO,OK,Exact 250 mb level.
NOME AK,AK,70200,64.5072,-165.4347,2026-02-03,0:00,00Z,83,24,-59,,,26,-57,24,-59,UWYO,OK,Exact 250 mb level.
BETHEL/BETHEL AIRPORT AK,AK,70219,60.785,-161.84,2026-02-03,0:00,00Z,17,11,-6,,,10,-7,13,-4,UWYO,OK,Exact 250 mb level.
MCGRATH AK,AK,70231,62.9583,-155.5977,2026-02-03,0:00,00Z,33,29,-4,,,27,-6,28,-5,UWYO,OK,Exact 250 mb level.
FAIRBANKS/INT. AK,AK,70261,64.8161,-147.8766,2026-02-03,0:00,00Z,83,42,-41,,,40,-44,41,-42,UWYO,OK,Exact 250 mb level.
ANCHORAGE/INT. AK,AK,70273,61.1567,-149.9863,2026-02-03,0:00,00Z,16,12,-4,,,12,-4,12,-4,UWYO,OK,Exact 250 mb level.
ST. PAUL ISLANDS AK,AK,70308,57.15,-170.2166,2026-02-03,0:00,00Z,83,35,-48,,,33,-50,33,-50,UWYO,OK,Exact 250 mb level.
COLD BAY AK,AK,70316,55.2011,-162.7163,2026-02-03,0:00,00Z,23,21,-2,,,23,0,22,-1,UWYO,OK,Exact 250 mb level.
KING SALMON AK,AK,70326,58.6794,-156.6683,2026-02-03,0:00,00Z,83,20,-63,,,22,-61,18,-65,UWYO,OK,Exact 250 mb level.
KODIAK AK,AK,70350,57.7431,-152.4866,2026-02-03,0:00,00Z,37,33,-5,,,37,0,34,-3,UWYO,OK,Exact 250 mb level.
