Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
Jacksonville,FL,KJAX,30.49,-81.70,2026-02-04,00:00,00Z,79,81,2,,,82,3,81,2,IEM,OK,Exact 250 mb level.
Key West,FL,KEYW,24.55,-81.78,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Miami,FL,KMFL,25.85,-80.31,2026-02-04,00:00,00Z,84,82,-2,,,80,-4,79,-5,IEM,OK,Exact 250 mb level.
Tampa Bay,FL,KTBW,27.70,-82.40,2026-02-04,00:00,00Z,78,80,2,,,80,2,81,3,IEM,OK,Exact 250 mb level.
Tallahassee,FL,KTLH,30.39,-84.35,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Cape Canaveral,FL,KXMR,28.46,-80.56,2026-02-02,12:00,12Z,120,121,1,,,115,-5,119,-1,IEM,OK,Exact 250 mb level.
Eglin AFB,FL,KVPS,30.48,-86.53,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Caribou,ME,KCAR,46.87,-68.01,2026-02-04,00:00,00Z,21,19,-2,,,23,2,23,2,IEM,OK,Exact 250 mb level.
Gray/Portland,ME,KGYX,43.89,-70.25,2026-02-03,12:00,12Z,24,23,-1,,,26,2,27,3,IEM,OK,Exact 250 mb level.
Chatham,MA,KCHH,41.69,-69.96,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Albany,NY,KALB,42.75,-73.80,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Upton/NYC,NY,KOKX,40.86,-72.87,2026-02-04,00:00,00Z,91,91,0,,,93,2,91,0,IEM,OK,Exact 250 mb level.
Buffalo,NY,KBUF,42.94,-78.73,2026-02-04,00:00,00Z,67,63,-5,,,62,-5,60,-7,IEM,OK,Exact 250 mb level.
Wallops Island,VA,KWAL,37.93,-75.48,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Sterling/DC,VA,KIAD,38.98,-77.47,2026-02-04,00:00,00Z,100,95,-5,,,98,-2,98,-2,IEM,OK,Exact 250 mb level.
Blacksburg,VA,KRNK,37.20,-80.41,2026-02-04,00:00,00Z,106,110,4,,,108,2,103,-4,IEM,OK,Exact 250 mb level.
Pittsburgh,PA,KPIT,40.53,-80.22,2026-02-04,00:00,00Z,78,77,-1,,,77,-1,78,0,IEM,OK,Exact 250 mb level.
Morehead City,NC,KMHX,34.77,-76.88,2026-02-04,00:00,00Z,98,101,3,,,104,6,103,5,IEM,OK,Exact 250 mb level.
Greensboro,NC,KGSO,36.08,-79.95,2026-02-04,00:00,00Z,107,111,4,,,111,4,108,1,IEM,OK,Exact 250 mb level.
Charleston,SC,KCHS,32.90,-80.03,2026-02-04,00:00,00Z,91,92,1,,,93,2,91,0,IEM,OK,Exact 250 mb level.
Peachtree City,GA,KFFC,33.36,-84.57,2026-02-04,00:00,00Z,85,89,4,,,89,4,90,5,IEM,OK,Exact 250 mb level.
Birmingham,AL,KBMX,33.17,-86.77,2026-02-04,00:00,00Z,89,92,3,,,93,4,91,2,IEM,OK,Exact 250 mb level.
Jackson,MS,KJAN,32.32,-90.08,2026-02-04,00:00,00Z,93,96,3,,,93,0,96,3,IEM,OK,Exact 250 mb level.
Slidell/NOLA,LA,KLIX,30.33,-89.82,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO to use UWyo.
Lake Charles,LA,KLCH,30.12,-93.22,2026-02-04,00:00,00Z,101,100,-1,,,99,-3,101,-1,IEM,OK,Exact 250 mb level.
