Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
SAMSUN,TR,17030,41.3442,36.2564,2026-02-04,00:00,00Z,79,84,5,,,84,5,85,6,UWYO,OK,Exact 250 mb level.
ISTANBUL BOLGE (KARTAL),TR,17064,40.9113,29.1558,2026-02-04,00:00,00Z,86,82,-4,,,83,-3,82,-4,UWYO,OK,Exact 250 mb level.
ERZURUM BOLGE,TR,17095,39.9058,41.2544,2026-02-04,00:00,00Z,44,45,1,,,43,-1,43,-1,UWYO,OK,Exact 250 mb level.
KAYSERI BALGE,TR,17196,38.687,35.5,2026-02-04,00:00,00Z,104,106,2,,,102,-2,99,-6,UWYO,OK,Exact 250 mb level.
IZMIR/GUZELYALI,TR,17220,38.3949,27.0819,2026-02-04,00:00,00Z,56,58,2,,,54,-2,58,2,UWYO,OK,Exact 250 mb level.
ISPARTA,TR,17240,37.7848,30.5679,2026-02-04,00:00,00Z,82,70,-12,,,67,-15,70,-13,UWYO,OK,Exact 250 mb level.
ADANA/BOLGE,TR,17351,37.0041,35.3443,2026-02-04,00:00,00Z,97,94,-3,,,93,-4,92,-6,UWYO,OK,Exact 250 mb level.
PAPHOS AP,CY,17600,34.7194,32.4847,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
ATHALASSA,CY,17607,35.1408,33.3964,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
LARNACA AIRPORT,CY,17609,34.8733,33.6172,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
KOSTANAI AS,KZ,28951,53.2993,63.6104,2026-02-04,00:00,00Z,39,41,2,,,38,-1,41,2,UWYO,OK,Exact 250 mb level.
AKTOBE,KZ,35229,50.2579,57.2235,2026-02-04,00:00,00Z,52,53,1,,,54,2,49,-3,UWYO,OK,Exact 250 mb level.
KARAGANDA,KZ,35394,49.8,73.15,2026-02-04,00:00,00Z,52,49,-3,,,51,-1,54,2,UWYO,OK,Exact 250 mb level.
ZHEZKAZGAN,KZ,35671,47.8,67.7167,2026-02-04,00:00,00Z,27,24,-3,,,26,-1,25,-2,UWYO,OK,Exact 250 mb level.
ATYRAU,KZ,35700,47.1161,51.8836,2026-02-04,00:00,00Z,52,51,-1,,,55,3,54,2,UWYO,OK,Exact 250 mb level.
PAVLODAR,KZ,36003,52.2003,77.0702,2026-02-04,00:00,00Z,54,51,-3,,,55,1,53,-1,UWYO,OK,Exact 250 mb level.
ALMATY AS,KZ,36872,46.3636,77.0045,2026-02-03,12:00,12Z,33,45,12,,,41,8,42,9,UWYO,OK,Exact 250 mb level.
AMS TASBOGET/KYZYLORDA AS,KZ,38064,44.7688,65.5265,2026-02-04,00:00,00Z,25,25,0,,,34,9,30,5,UWYO,OK,Exact 250 mb level.
TARAZ,KZ,38341,42.85,71.3,2026-02-04,00:00,00Z,43,47,4,,,42,-2,40,-3,UWYO,OK,Exact 250 mb level.
ASHDOD NORTH,IL,40186,31.8667,34.6833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
MAFRAQ,JO,40265,32.3667,36.25,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
AL QAISUMAH AIRPORT,SA,40373,28.3306,46.1234,2026-02-04,00:00,00Z,88,80,-8,,,86,-3,85,-3,UWYO,OK,Exact 250 mb level.
TABUK AIRPORT,SA,40375,28.3672,36.6043,2026-02-04,00:00,00Z,81,75,-6,,,78,-3,76,-5,UWYO,OK,Exact 250 mb level.
HAIL AIRPORT,SA,40394,27.435,41.6902,2026-02-04,00:00,00Z,82,80,-2,,,82,0,84,2,UWYO,OK,Exact 250 mb level.
KING FAHD AIRPORT,SA,40417,26.4461,49.8097,2026-02-04,00:00,00Z,73,77,4,,,79,6,80,7,UWYO,OK,Exact 250 mb level.
AL MADINA AIRPORT,SA,40430,24.5588,39.6999,2026-02-04,00:00,00Z,83,84,1,,,84,1,82,-1,UWYO,OK,Exact 250 mb level.
BAGHDAD INT. AIRPORT,IQ,40650,33.3,44.4,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
TABRIZ,IR,40706,38.1222,46.2425,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
GORGAN,IR,40738,36.905,54.4136,2026-02-03,12:00,12Z,79,75,-4,,,80,1,76,-3,UWYO,OK,Exact 250 mb level.
MASHHAD,IR,40745,36.2363,59.6311,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
