Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
JAN MAYEN,SJ,1001,70.9331,-8.6667,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
SCHLESWIG,DE,10035,54.5275,9.5487,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
NY-ALESUND II,SJ,1004,78.9233,11.9222,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
ANDOYA,NO,1010,69.3073,16.1312,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
NORDERNEY,DE,10113,53.7123,7.1519,2/3/2026,0:00,00Z,49,55,6,,,48,-1,46,-4,UWYO,OK,Exact 250 mb level.
GREIFSWALD,DE,10184,54.0967,13.4056,2/3/2026,0:00,00Z,21,25,4,,,25,4,25,4,UWYO,OK,Exact 250 mb level.
BERGEN,DE,10238,52.8152,9.9248,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
BJORNOYA,SJ,1028,74.5167,19.0047,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
MEPPEN,DE,10304,52.7155,7.3176,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
LINDENBERG,DE,10393,52.2085,14.118,2/3/2026,0:00,00Z,31,28,-3,,,31,0,32,1,UWYO,OK,Exact 250 mb level.
ESSEN (AEROLOGY),DE,10410,51.4041,6.9682,2/3/2026,0:00,00Z,58,52,-7,,,53,-6,51,-7,UWYO,OK,Exact 250 mb level.
MEININGEN,DE,10548,50.5611,10.3771,2/3/2026,0:00,00Z,66,64,-2,,,63,-3,64,-2,UWYO,OK,Exact 250 mb level.
IDAR-OBERSTEIN,DE,10618,49.6927,7.3263,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
STUTTGART (AEROLOGY),DE,10739,48.8281,9.2006,2/3/2026,0:00,00Z,45,34,-11,,,36,-9,36,-9,UWYO,OK,Exact 250 mb level.
KUEMMERSBRUCK,DE,10771,49.4283,11.9016,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
OBERSCHLEII HEIM (AEROLOGY),DE,10868,48.2446,11.5525,2/3/2026,0:00,00Z,60,49,-11,,,51,-9,51,-9,UWYO,OK,Exact 250 mb level.
ALTENSTADT,DE,10954,47.8342,10.8667,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
HOHENPEISSENBERG,DE,10962,47.8009,11.0108,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
LINZ/HOERSCHING-FLUGHAFEN,AT,11010,48.2353,14.1881,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
WIEN/HOHE WARTE (11035-0),AT,11035,48.2486,16.3564,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
INNSBRUCK-FLUGHAFEN,AT,11120,47.2603,11.3439,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
GRAZ-THALERHOF-FLUGHAFEN,AT,11240,46.9806,15.44,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
PRAHA-LIBUS,CZ,11520,50.0078,14.4469,2/3/2026,0:00,00Z,47,50,3,,,54,7,49,2,UWYO,OK,Exact 250 mb level.
PROSTEJOV,CZ,11747,49.4525,17.1347,2/3/2026,0:00,00Z,39,39,0,,,42,3,41,2,UWYO,OK,Exact 250 mb level.
POPRAD-GANOVCE,SK,11952,49.0347,20.3233,2/3/2026,0:00,00Z,39,39,0,,,38,-1,38,-1,UWYO,OK,Exact 250 mb level.
LEBA,PL,12120,54.7536,17.5347,2/3/2026,0:00,00Z,17,17,0,,,20,3,18,1,UWYO,OK,Exact 250 mb level.
